NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C202000460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;204
C202000461;0;0;0;0;0;0;2369.52;0;0;0;0;0;0;0;0;0;0;0
C202000468;0;0;0;0;0;0;0;0;0;0;0;0;0;2842.267;0;0;0;0
C202000475;0;0;0;0;0;4340;0;0;0;0;0;0;0;0;0;0;0;0
C202000476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3013.15;0;0
C202000477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4824.126;0;0
C202000478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8456;0;0
C202000479;0;0;0;0;0;0;0;0;0;8250.096;0;0;0;0;0;0;0;0
C202000483;0;0;0;0;0;0;0;0;0;0;2749.871;0;0;0;0;0;0;0
C202000484;0;0;0;0;0;0;1362.036;0;0;0;0;0;0;0;0;0;0;0
C202000486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3970.24;0;0
C202000489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4728.38;0;0
C202000493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3253.48;0;0
C202000494;0;0;0;0;0;3650;0;0;0;0;0;0;0;0;0;0;0;0
C202000496;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2568.46;0;0;0
C202000497;0;0;0;0;0;4555;0;0;0;0;0;0;0;0;0;0;0;0
C202000500;0;0;0;0;0;0;0;0;0;3391.55;0;0;0;0;0;0;0;0
C202000506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;996.815;0;0
C202000508;0;0;0;0;0;0;0;0;520.667;0;0;0;0;0;0;0;0;0
C202000509;0;0;0;0;0;0;0;0;2008.333;0;0;0;0;0;0;0;0;0
C202000510;0;0;0;0;0;12000;0;0;0;0;0;0;0;0;0;0;0;0
C202000511;0;0;0;0;0;0;0;0;0;4279.857;0;0;0;0;0;0;0;0
C202000512;0;0;0;0;0;28610;0;0;0;0;0;0;0;0;0;0;0;0
C202000513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5976.675;0;0
C202000515;0;0;0;0;0;0;0;0;0;0;0;0;4955.97;0;0;0;0;0
C202000521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261.48;0;0;0
C202000522;0;0;0;2762.262;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4399.85;0;0
C202000524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4510.9;0;0
C202000527;0;0;0;0;0;0;0;0;0;2228.014;0;0;0;0;0;0;0;0
C202000528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2765.119;0;0
C202000533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.63
C202000537;0;0;0;0.641;0;353.117;0.24;0;71.145;0;0;0;0;0;0;0;0;0
C202000538;0;0;0;0;0;0;4413.723;0;0;0;0;0;0;0;0;0;0;0
C202000539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;939.2
C202000544;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2901.003;0;0
